IdDocumentoCONPES,Titulo,Numero,FechaAprobacion,URL,URLPAS,URLOtros
4906,"Concepto Favorable a la Nación para Contratar un Empréstito Externo con la Banca Multilateral hasta por USD 10 Millones, o su Equivalente en otras Monedas, Destinado a Financiar el Proyecto de Infraestructura y Fortalecimiento Institucional ",4087,2022-05-20,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/4087.pdf,,
4894,Fortalecimiento del Uso y la Institucionalidad de las Evaluaciones para la Toma de Decisiones en Colombia.,4083,2022-05-16,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/4083.pdf,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/Anexo A. PAS 4083.xlsx,
4901,"La Mojana: Territorio Resiliente, Sostenible, Productivo y Competitivo",4084,2022-05-16,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/4084.pdf,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/Anexo A. PAS  4084.xlsx,
4903,Política de Internacionalización para el Desarrollo Productivo Regional,4085,2022-05-16,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/4085.pdf,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/Anexo A. PAS 4085.xlsx,
4887,"Declaración de Importancia Estratégica de los Proyectos de Inversión para la Implementación de la Iniciativa Acceso a Internet en los Departamentos de Amazonas, Guainía, Vaupés, Vichada (Frontera Orinoquía-Amazonía) y el Archipiélago de San Andrés",4079,2022-04-18,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/4079.pdf,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/Anexo A. PAS 4079.xlsx,
4890,"Concepto Favorable a la Nación para contratar un empréstito externo con la banca multilateral hasta por USD 35,3 millones o su equivalente en otras monedas, destinado a financiar el proyecto de iniciativas climáticamente inteligentes para la (...)",4081,2022-04-18,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/4081.pdf,,
4891,Declaración de Importancia Estratégica del Proyecto Construcción y Ampliación de Infraestructura Para Generación de Cupos en los Establecimientos de Reclusión del Orden (...),4082,2022-04-18,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/4082.pdf,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/Anexo A. PAS 4082.xlsx,
4893,Política Pública de Equidad de Género para las Mujeres: Hacia el Desarrollo Sostenible del País,4080,2022-04-18,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/4080.pdf,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/Anexo A. PAS 4080.xlsx,
4881,Adenda nro. 1 Documento CONPES 3918 ,Adenda 3918,2022-04-08,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/Adenda 3918.pdf,,
4871,"Instrucciones a los Representantes de la Nación y sus Entidades para la Destinación de Utilidades de las Empresas Industriales y Comerciales del Estado Societarias y las Sociedades de Economía Mixta del Orden Nacional, con Corte a 31 de Diciembre de 2021",4074,2022-03-29,https://colaboracion.dnp.gov.co/CDT/Conpes/Económicos/4074.pdf,,
