Eje,Categoria,Tema
Turismo,Turismo,Centros de bienestar
Turismo,Turismo,Retiros espirituales
Turismo,Turismo,Spa
Turismo,Turismo,Termales
Turismo,Turismo,Tradiciones ancestrales
Turismo,Turismo,Viajes conscientes 
Turismo,Turismo,Cruceros
Turismo,Turismo,Náutico
Turismo,Turismo,Arqueología
Turismo,Turismo,Cultura Urbana
Turismo,Turismo,Cultura viva
Turismo,Turismo,Ferias y festivales
Turismo,Turismo,Gastronomía
Turismo,Turismo,Pueblos con patrimonio
Turismo,Turismo,"Turismo religioso, espiritual y misticismo"
Turismo,Turismo,LGBTQ+
Turismo,Turismo,Lujo
Turismo,Turismo,Aventura
Turismo,Turismo,Científico
Turismo,Turismo,Ecológico 
Turismo,Turismo,Rural 
Turismo,Turismo,Turismo en bicicleta
Turismo,Turismo,Deportes acuáticos
Turismo,Turismo,Sol y playa
Turismo,Turismo,Turismo Comunitario
Turismo,Turismo,No aplica
Turismo,Turismo,Bodas
Turismo,Turismo,Deportivos
Turismo,Turismo,SMERF
Turismo,Turismo,Congresos
Turismo,Turismo,Convenciones
Turismo,Turismo,Viajes de incentivos
Turismo,Turismo,Conectividad aérea
Turismo,Turismo,Infraestructura en turismo
Exportacion,Materiales de Construcción,Yeso
Exportacion,Materiales de Construcción,Vidrio (materiales de construcción)
Exportacion,Suministros Industriales,Vidrio (artículos industriales)
Exportacion,Vehículos y Automotriz,Vehículos eléctricos
Exportacion,Vehículos y Automotriz,Vehículos
Exportacion,Vehículos y Automotriz,Transporte de pasajeros
Exportacion,Vehículos y Automotriz,Transporte de mercancías
Exportacion,Vehículos y Automotriz,Tractores
Exportacion,Textiles y Confecciones,Textiles
Exportacion,"Computadores y Equipos Electrónicos, Eléctricos y Telecomunicaciones",Telecomunicaciones y sonido
Exportacion,Artesanias,Tapicería
Exportacion,Vehículos y Automotriz,Tanques y vehículos blindados de combate
Exportacion,Agrícola,Tabaco
Exportacion,Pecuario,Subproductos de origen animal (otros)
Exportacion,Pecuario,Subproductos de origen animal (avícola)
Exportacion,Alimentos,Semillas y frutos oleaginosos
Exportacion,Servicios,Seguridad
Exportacion,Vehículos y Automotriz,Remolques y semirremolques
Exportacion,Químicos ,Raticidas
Exportacion,Alimentos,Queso
Exportacion,Químicos ,Productos químicos orgánicos
Exportacion,Químicos ,Productos químicos inorgánicos
