,topic1,topic2,2017,2018,2019,2020,2021,2022
0,documento,conpes,16,39,25,35,27,15
1,documento,consejo,16,39,25,35,27,15
2,documento,nacional,16,39,25,35,27,15
3,documento,política,16,39,25,35,27,15
4,documento,económica,16,39,25,35,27,15
5,documento,social,16,39,25,35,27,15
6,documento,república,16,39,25,35,27,15
7,documento,colombia,16,39,25,35,27,15
8,documento,departamento,16,39,25,35,27,15
9,documento,planeación,16,39,25,35,27,15
10,documento,concepto,14,36,24,31,26,10
11,documento,favorable,5,23,17,19,16,8
12,documento,nación,16,37,24,33,27,13
13,documento,contratar,7,24,11,13,12,11
14,documento,empréstito,2,7,8,7,4,5
15,documento,externo,6,16,15,13,16,8
16,documento,banca,5,18,13,16,12,8
17,documento,multilateral,4,13,11,9,10,7
18,documento,usd,7,15,16,17,13,9
19,documento,millones,16,36,25,35,27,14
20,documento,equivalente,10,25,18,20,15,8
21,documento,monedas,2,12,12,9,11,6
22,documento,destinado,8,14,11,12,13,9
23,documento,financiar,13,28,21,21,22,12
24,documento,proyecto,15,32,21,32,24,12
25,documento,infraestructura,15,36,22,32,26,11
26,documento,fortalecimiento,14,32,21,32,25,14
27,documento,institucional,8,30,17,31,22,12
28,documento,gobernanza,4,16,7,18,11,8
29,documento,áreas,10,29,20,28,20,10
30,documento,desarrollo,16,39,25,35,27,15
31,documento,naranja,0,0,8,4,4,1
32,documento,ministerio,16,39,25,35,27,15
33,documento,hacienda,16,39,25,35,27,14
34,documento,crédito,16,39,25,35,27,14
35,documento,público,16,39,25,35,27,14
36,documento,cultura,16,39,25,35,27,14
37,documento,versión,16,39,25,35,27,14
38,documento,aprobada,16,39,25,35,26,14
39,documento,bogotá,16,39,25,35,27,15
40,documento,mayo,10,23,14,21,16,9
41,documento,iván,0,10,25,35,27,14
42,documento,duque,0,10,25,35,27,14
43,documento,márquez,0,11,25,35,27,14
44,documento,presidente,16,39,25,35,27,14
45,documento,marta,2,16,25,35,27,14
46,documento,lucía,0,11,25,34,26,14
47,documento,ramírez,1,10,24,34,27,14
48,documento,blanco,1,11,25,35,27,13
49,documento,vicepresidenta,0,10,24,34,27,14
50,documento,daniel,0,0,6,35,27,14
51,documento,palacios,0,1,1,0,27,14
52,documento,martínez,0,2,0,5,25,14
53,documento,ministro,16,39,25,35,27,14
54,documento,interior,16,39,25,35,27,14
55,documento,ministra,16,39,25,35,27,14
56,documento,relaciones,16,39,25,35,27,14
57,documento,exteriores,16,39,25,35,27,14
58,documento,josé,3,16,25,35,27,14
59,documento,manuel,16,39,25,35,27,14
60,documento,restrepo,11,35,25,35,27,14
61,documento,abondano,0,10,25,34,25,14
62,documento,wilson,0,0,0,13,27,14
63,documento,ruíz,0,0,0,27,27,14
64,documento,orejuela,0,0,0,13,27,14
65,documento,justicia,16,39,25,35,27,14
66,documento,derecho,16,39,25,35,27,14
67,documento,diego,0,11,9,19,27,14
68,documento,andrés,2,17,25,12,26,14
69,documento,molano,0,0,0,0,27,14
70,documento,aponte,0,0,0,0,27,14
71,documento,rodolfo,0,0,0,32,27,14
72,documento,enrique,14,29,0,32,27,14
73,documento,zea,0,0,0,32,27,14
74,documento,navarro,0,0,1,32,27,14
75,documento,defensa,16,39,25,35,27,14
76,documento,agricultura,16,39,25,35,27,14
77,documento,rural,16,39,25,35,27,14
78,documento,fernando,16,28,3,32,27,14
79,documento,gómez,3,13,25,35,27,14
80,documento,ángel,0,0,0,31,27,14
81,documento,custodio,0,0,0,32,27,14
82,documento,cabrera,0,0,0,32,27,14
83,documento,báez,1,1,0,32,26,14
84,documento,salud,16,39,25,35,27,14
85,documento,protección,16,39,25,35,27,14
86,documento,trabajo,16,39,25,35,27,14
87,documento,mesa,1,11,5,22,26,14
88,documento,puyo,0,0,0,19,26,14
89,documento,maría,16,39,25,35,27,14
90,documento,ximena,0,0,0,0,20,14
91,documento,lombana,0,0,0,0,20,14
92,documento,villalba,0,2,0,0,20,14
93,documento,minas,16,39,25,35,27,14
94,documento,energía,16,39,25,35,27,14
95,documento,comercio,16,39,25,35,27,14
96,documento,industria,16,39,25,35,27,14
97,documento,turismo,16,39,25,35,27,14
98,documento,victoria,2,14,25,35,27,14
99,documento,angulo,0,12,25,35,27,14
100,documento,gonzález,1,11,25,35,27,14
101,documento,carlos,16,39,25,35,27,14
102,documento,eduardo,11,0,0,14,27,14
103,documento,correa,0,1,1,13,27,14
104,documento,escaf,0,0,0,13,26,14
105,documento,educación,16,39,25,35,27,14
106,documento,ambiente,16,39,25,35,27,14
107,documento,sostenible,16,39,25,35,27,15
108,documento,susana,0,0,0,0,0,9
109,documento,borrero,1,9,5,1,16,14
