Process started: 2022-07-01 01:58:36.795324
Opening DB connection
Engine created
DB connection successful!
('poblacionales34', 1, 1)
('indicados23', 1, 1)
('privada12', 1, 1)
('-7,5%', 1, 1)
('pue', 1, 1)
('riviera', 1, 1)
('extensivos', 1, 1)
('invamer', 1, 4)
('tránsito)50', 1, 1)
('contigüidad', 1, 1)
('competitivas64', 1, 1)
('defensivo67', 1, 1)
('traumáticos', 1, 2)
('pokorny', 1, 1)
('rodauce', 1, 1)
('estategia', 1, 1)
('revelando', 1, 1)
('vj-ve-app-ipb-001-2021', 1, 1)
('microservicios', 1, 1)
('otitis', 1, 1)
('esterilla', 1, 1)
('arco)80', 1, 1)
('campo-200807.aspx', 1, 1)
('masifica', 1, 1)
('s0140-6736(17)32513-8', 1, 1)
('comunicaciones-', 1, 1)
('r1588', 1, 1)
('alfabetizada', 1, 1)
('desastres43', 1, 1)
('amplificarán', 1, 1)
('multiinstitucionales', 1, 1)
('sepúlveda', 1, 1)
('longitud26', 1, 1)
('diocesanas', 1, 1)
('extra-anchos', 1, 1)
('sistemas47', 1, 1)
('palermo-salamina-plato', 1, 3)
('euro92', 1, 1)
('facultando', 1, 1)
('psychosocial', 1, 1)
('nanosatélites', 1, 2)
('borghans', 1, 2)
('predice', 1, 1)
('pública30', 1, 1)
('fijarlo', 1, 1)
('mutis', 1, 2)
('incluyente198', 1, 1)
('flattening', 1, 1)
('sobrevivieron', 1, 1)
('velando', 1, 2)
('manejó', 1, 1)
('c-823', 1, 1)
('telematics', 1, 1)
('territorial9', 1, 1)
('escuchó', 1, 1)
('-san', 1, 2)
('10%5%40.0000%-0,3%-5%20.000-10%0', 1, 1)
('suicidios', 1, 1)
('e-democracia', 1, 2)
('25%1', 1, 1)
('oidper', 1, 1)
('antifraude', 1, 1)
('optimizará', 1, 1)
('maliciosos', 1, 1)
('modal132', 1, 1)
('ideo-político', 1, 1)
('bogotá-cundinamarca108', 1, 1)
('73costa', 1, 1)
('ramv17', 1, 1)
('deppr', 1, 1)
('08ellac', 1, 1)
('while', 1, 2)
('crueles', 1, 1)
('peleas', 1, 1)
('comprendía', 1, 1)
('4,322,963,34manizales', 1, 1)
('otoño', 1, 3)
('imprecisión', 1, 1)
('econometric', 1, 1)
('ytelecom', 1, 1)
('alta%0,03', 1, 1)
('escritor', 1, 1)
('central166', 1, 1)
('artificial4', 1, 1)
('proffesionalization', 1, 1)
('articles', 1, 1)
('esir', 1, 1)
('gazelles', 1, 1)
('start', 1, 2)
('étnicos35%29%30%25%20%16%13,7%15%', 1, 1)
('encubiertas', 1, 1)
('zarpe', 1, 2)
('men-enviados', 1, 1)
('respaldó', 1, 1)
('democratizado', 1, 2)
('intraestacional', 1, 1)
("o'reilly", 1, 2)
('financiación3', 1, 1)
('pasajeros114', 1, 1)
('elíptico', 1, 1)
('jubilaciones', 1, 1)
('improved', 1, 1)
('emparejar', 1, 1)
('poliomielitis', 1, 1)
('bid,2018', 1, 2)
('originarios', 1, 1)
('antero', 1, 4)
('meta-analytic', 1, 1)
('selvaraj', 1, 1)
('ripss', 1, 2)
('rural14,6%', 1, 1)
('ejecutoriado', 1, 1)
('vote', 1, 1)
('cosi', 1, 3)
('hipermercados', 1, 1)
('estabilizarán', 1, 1)
('stansfeld', 1, 2)
('lehrner', 1, 1)
('armonías', 1, 1)
('preferentes', 1, 1)
('incurriría', 1, 1)
('programas28', 1, 1)
('operación180', 1, 1)
('soto-vallejo', 1, 2)
('conductor6511571', 1, 1)
('interfases', 1, 1)
('productivo23', 1, 1)
('inheritance', 1, 1)
('20sotnem15urtsni', 1, 1)
('secuelas', 1, 1)
('procedan', 1, 1)
('peatónsalud', 1, 1)
('medicación', 1, 1)
('abstinencia', 1, 1)
('administradoactividades', 1, 1)
('arco)50', 1, 1)
('deposite', 1, 1)
('parajes', 1, 1)
('ejecutoras41', 1, 1)
('colombiana100', 1, 1)
('aldeas', 1, 1)
('equiparables', 1, 1)
('documente', 1, 1)
('duraron', 1, 1)
('predios33', 1, 1)
('zipaquirá-lenguazaque', 1, 1)
('afidos', 1, 1)
('codazzi-igac', 1, 1)
('ti)21', 1, 1)
('develan', 1, 1)
('brasilchnileigeria0', 1, 1)
('canacar', 1, 4)
('consignará', 1, 1)
('empléate16', 1, 1)
('5%d', 1, 1)
('cemat', 1, 1)
('siho', 1, 1)
('4,523,062,79cartagena', 1, 1)
('aterrizadas', 1, 1)
('exterior32', 1, 1)
('rebellious', 1, 1)
('inei', 1, 2)
('marge', 1, 1)
('colombi', 1, 1)
('colocar', 1, 1)
('intereconomics', 1, 1)
('calvo', 1, 1)
('psychosom', 1, 1)
('nayapop', 1, 1)
('spea', 1, 5)
('ciberataques', 1, 2)
('protec', 1, 1)
('costosnacional', 1, 1)
('7%transporte', 1, 1)
('garzones', 1, 1)
('incomparables', 1, 1)
('capitales25', 1, 1)
('p106284', 1, 2)
('ancianos', 1, 1)
('víctimas54', 1, 1)
('furag-función', 1, 1)
('iig', 1, 1)
('inhibición', 1, 1)
('experimentaron', 1, 1)
('renovarlos', 1, 2)
('77,480,060,040,020,00,0política', 1, 1)
('gil-', 1, 4)
('relevada', 1, 1)
('protejidas', 1, 1)
('anthem', 1, 1)
('estacionario', 1, 1)
('desenredando', 1, 1)
('marítimos84', 1, 1)
('anual/', 1, 1)
('bogotá-belencito', 1, 3)
('receptación', 1, 1)
('municipios-terridata', 1, 2)
('barranqui30.345', 1, 1)
('dian14', 1, 1)
('cambulos', 1, 1)
('anteponer', 1, 1)
('ttambién', 1, 1)
('pago7', 1, 1)
('oma', 1, 2)
('pasajeros129', 1, 1)
('28d', 1, 2)
('tándem', 1, 1)
('carbonácea', 1, 1)
('cuenteros', 1, 1)
('desestabilizar', 1, 2)
('laporte', 1, 1)
('oms)97', 1, 1)
('admite', 1, 1)
('parrillas', 1, 2)
('floración', 1, 1)
('extraigan', 1, 1)
('cnbt', 1, 1)
('touboul', 1, 1)
('embarcaron', 1, 1)
('measurements', 1, 1)
('robos', 1, 1)
('investors', 1, 1)
('torca', 1, 1)
('ferrocarrilestaciones', 1, 1)
('phinn', 1, 2)
('ellos42', 1, 1)
('dgrae', 1, 1)
('release', 1, 1)
('cibermetría', 1, 2)
('transitario', 1, 1)
('ralentización', 1, 1)
('conclusions', 1, 1)
('prefactibilidad15', 1, 1)
('expansión73', 1, 1)
('maughan', 1, 3)
('colecciona', 1, 1)
('agua13', 1, 1)
('quimbo', 1, 1)
('oénaga', 1, 1)
('fitosanitario', 1, 2)
('afis', 1, 1)
('radioelectrónicos', 1, 1)
('alfabetizar', 1, 2)
('gestorinfraestructura', 1, 1)
('valorativos', 1, 1)
('laicremoc', 1, 1)
('ishida', 1, 1)
('cosentino', 1, 3)
('utak)14', 1, 1)
('indicadora', 1, 1)
('cr0134', 1, 1)
('rigieron', 1, 1)
('taxonomy', 1, 1)
('pp.745', 1, 1)
('blindados', 1, 1)
('hallándose', 1, 1)
('gmbh.', 1, 1)
('nemoc', 1, 1)
('nilo', 1, 2)
('plazo-mgmp', 1, 4)
('cga', 1, 1)
('desmembrado', 1, 1)
('verificarse', 1, 4)
('brava', 1, 1)
('difundió', 1, 1)
('enmarcaron', 1, 1)
('desapercibidas', 1, 1)
('2020íap', 1, 1)
('padrones', 1, 1)
('emorp', 1, 1)
('ulcué', 1, 1)
('harvey', 1, 1)
('desmontando', 1, 1)
('gestionarlos', 1, 1)
('territoriales89', 1, 1)
('pae34', 1, 1)
('inversiones27', 1, 1)
('0%2008', 1, 1)
('inspira', 1, 1)
('zelanda', 1, 1)
('mra', 1, 3)
('parasitarias', 1, 1)
('cadavid', 1, 1)
('pesv', 1, 3)
('empresa9', 1, 1)
('sancionadores', 1, 1)
('git', 1, 1)
('soporte42', 1, 1)
('makú', 1, 1)
('linio', 1, 3)
('cov-2', 1, 1)
('5%canadá', 1, 1)
('multinacion1118024', 1, 1)
('hulsroj', 1, 1)
('conatos', 1, 1)
('fragmentarse', 1, 1)
('aglomeran', 1, 1)
('calentamientos', 1, 1)
('remirp', 1, 2)
('bolivialatina', 1, 1)
('cetap-', 1, 1)
('pago25', 1, 1)
('encuestadas93', 1, 1)
('c02', 1, 1)
('cesárea', 1, 3)
('pnsp)10', 1, 1)
('carmona', 1, 2)
('sensitiva', 1, 1)
('ar-l1248', 1, 1)
('41corte', 1, 1)
('próxima(8', 1, 1)
('cuántica', 1, 1)
('desatada', 1, 1)
('totoro', 1, 1)
('desprendimiento', 1, 1)
('humanitarios49', 1, 1)
('bioecológica', 1, 1)
('protegió', 1, 1)
('patológicos', 1, 1)
('indiaetiopía', 1, 1)
('cybercrime', 1, 1)
('dietarios', 1, 1)
('digitales37', 1, 1)
('smmlv22', 1, 1)
('sobresalga', 1, 1)
('suice', 1, 1)
('cafiero', 1, 1)
('entidad.(proceso', 1, 1)
('antivacunas', 1, 1)
('luxembur).la', 1, 1)
('ponerlas', 1, 1)
('conocimiento37', 1, 1)
('rafaty', 1, 1)
('oc-junio', 1, 1)
('cim)133', 1, 1)
('mankiw', 1, 2)
('chataway', 1, 2)
('señal35', 1, 1)
('integral32', 1, 1)
('tributarios12', 1, 1)
('aburrimiento', 1, 1)
('fortul-saravena', 1, 1)
('dupéré', 1, 2)
('offset', 1, 1)
('jordania', 1, 4)
('presidencial51', 1, 1)
('movilizarlos', 1, 1)
('alert', 1, 1)
('windshear45', 1, 1)
('srpa119', 1, 1)
('homologan', 1, 1)
('x-road135', 1, 1)
('quinceava', 1, 1)
('naiones', 1, 1)
('caldas54', 1, 1)
('dayton-johnson', 1, 3)
('kioto43', 1, 1)
('65c', 1, 2)
('7%31', 1, 1)
('trópico', 1, 3)
('spa44', 1, 1)
('retornadas17', 1, 1)
('engine', 1, 1)
('memorado', 1, 1)
('rothwell', 1, 1)
('64%prefiere', 1, 1)
('salgar-barranquilla', 1, 1)
('prematuras', 1, 1)
('procediera', 1, 1)
('manizales46', 1, 1)
('regresado', 1, 1)
('pndf', 1, 5)
('cabera', 1, 1)
('conpes4084', 1, 1)
('vance', 1, 1)
('triveño', 1, 2)
('sabogal', 1, 1)
('contrarrestado', 1, 1)
('grosh', 1, 1)
('dinamarca', 1, 1)
('oscilaron', 1, 1)
('reservadas', 1, 1)
('hygiene', 1, 1)
('lambin', 1, 1)
('2017/2018', 1, 1)
('helipuertos', 1, 2)
('mapiripán', 1, 2)
('psychiatry', 1, 1)
('moody´s75', 1, 1)
('unidas70', 1, 1)
('orips', 1, 1)
('carné', 1, 2)
('macarty', 1, 2)
('infructuosos', 1, 1)
('bodegas2,8%sistemas', 1, 1)
('interesadas8', 1, 1)
('autoformación', 1, 2)
('ondulada', 1, 1)
('ilìcitos', 1, 3)
('ecuador57', 1, 1)
('secuestrados', 1, 1)
('bo0221', 1, 1)
('ggráfico', 1, 1)
('prodes', 1, 1)
('ila', 1, 3)
('solidario-3-millones-de-familias-colombianas-no-estan-cubiertas-programas-', 1, 1)
('ssrn', 1, 2)
('crédico', 1, 2)
('contraría', 1, 1)
('unidos1,90mexico', 1, 1)
('virgill', 1, 2)
('estacione', 1, 1)
('flexibilizando', 1, 1)
('ponencia', 1, 2)
('casyp', 1, 2)
('megahercio', 1, 1)
('easy', 1, 1)
('cobranza', 1, 1)
('160000caja', 1, 1)
('vectores41', 1, 1)
('rondarían', 1, 1)
('privilegiado', 1, 1)
('olimpica', 1, 1)
('bocarejo', 1, 2)
('manufactura-bpm', 1, 1)
('iea', 1, 1)
('lin', 1, 2)
('infraestructura182', 1, 1)
('seguimiento15', 1, 1)
('omsinoisnetxe', 1, 1)
('circunscribirse', 1, 1)
('3te', 1, 1)
('enfocarlos', 1, 1)
('administrando', 1, 1)
('sociales10', 1, 1)
('jerarquías', 1, 1)
('biotecológicos', 1, 1)
('dian5', 1, 1)
('producirían', 1, 1)
('chimila', 1, 1)
('regalmentario', 1, 1)
('diabética', 1, 1)
('buenaventura-colombia', 1, 1)
('draga', 1, 1)
('manzanares', 1, 1)
('benítez', 1, 1)
('i11', 1, 1)
('mfmp2020-1,6', 1, 1)
('ex-madres', 1, 2)
('desintegraciones6.0004.8645.0003.7814.0003.2673.0982.8363.0001.9722.0001.00002013', 1, 1)
('perfeccionable', 1, 1)
('estarse', 1, 1)
('rnn', 1, 1)
('anlló', 1, 2)
('semicalificada', 1, 1)
('prevalecerán', 1, 1)
('densas', 1, 1)
('consultation', 1, 2)
('aspirante33', 1, 1)
('somnolencia', 1, 1)
('evalua', 1, 1)
('huánuco', 1, 2)
('agudizadas', 1, 1)
('ecrop-20-6-4-8', 1, 1)
('sintetizar', 1, 2)
('ic$15', 1, 1)
('concienticen', 1, 1)
('dnpmundial', 1, 2)
('201513,una', 1, 1)
('estableciéndolo', 1, 1)
('defenders', 1, 1)
('auríferas', 1, 1)
('quapper', 1, 1)
('certamen', 1, 1)
('pluralismo', 1, 1)
('hogar33', 1, 1)
('datos194', 1, 1)
('pasoancho', 1, 1)
('conectó', 1, 1)
('present', 1, 1)
('isletas', 1, 1)
('charry', 1, 2)
('prevención-mitigación', 1, 1)
('congénitas', 1, 1)
('covid-19151', 1, 1)
('tripulada', 1, 1)
('bogotá-municipios', 1, 1)
('experimentará', 1, 1)
('beginner´s', 1, 1)
('excederá', 1, 1)
('escolaren', 1, 1)
('xm-', 1, 1)
('potes', 1, 2)
('matiz', 1, 2)
('attitudes', 1, 1)
('desorganización', 1, 1)
('geoestacionarios', 1, 2)
('aumentarla', 1, 1)
('enseñanza-aprendizaje', 1, 1)
('136o', 1, 1)
('non-communicable', 1, 1)
('i29', 1, 1)
('-9,01%', 1, 1)
('laserna', 1, 1)
('fiction', 1, 1)
('chopra', 1, 2)
('conos', 1, 1)
('ocde6560', 1, 1)
('sociedad(es', 1, 1)
('bueno29,52', 1, 1)
('tocumen', 1, 1)
('fontán', 1, 2)
('compilando', 1, 1)
('hodson', 1, 2)
('equiparándola', 1, 1)
('lng', 1, 1)
('no.3', 1, 1)
('c-155-2003', 1, 1)
('higiénico', 1, 1)
('desaprobados', 1, 1)
('funcionarán', 1, 1)
('justificará', 1, 1)
('mencionando', 1, 1)
('obviado', 1, 1)
('sardá', 1, 2)
('corroborada', 1, 1)
('semarnat', 1, 1)
('menga', 1, 3)
('1–32', 1, 1)
('financiamiento-', 1, 1)
('apostilla', 1, 1)
('capacitarlo', 1, 1)
('asociadas16', 1, 1)
('blocks', 1, 1)
('bioecológico', 1, 2)
('socio-territorial', 1, 1)
('redoblado', 1, 1)
('/21', 1, 4)
('compare', 1, 1)
('admipda', 1, 1)
('hueco', 1, 1)
('sagarra', 1, 2)
('ruv45', 1, 1)
('mediatizado', 1, 1)
('montelíbano', 1, 1)
('40adev', 1, 1)
('vip38.20033.26530.10028.469', 1, 1)
('32%grande', 1, 1)
('transporte74', 1, 1)
('verde15', 1, 1)
('tmsa-sam-28-2019', 1, 1)
('20.544(a', 1, 1)
('kilometraje', 1, 2)
('aljibes', 1, 2)
('transmisores', 1, 4)
('desempate', 1, 1)
('kfw.', 1, 1)
('otros38', 1, 1)
('acceleration', 1, 1)
('cádiz', 1, 1)
('0004gr', 1, 1)
('recursos35', 1, 1)
('nosirruilnaegngadapaur', 1, 1)
('establecimientos(a', 1, 3)
('pubns', 1, 1)
('1dic-', 1, 1)
('autoservicios', 1, 1)
('56,3%falta', 1, 1)
('used', 1, 1)
('eic', 1, 1)
('apuntaron', 1, 1)
('a7.1', 1, 1)
('septiembre-noviembre', 1, 1)
('employee', 1, 1)
('knight', 1, 1)
('dnp45', 1, 1)
('elari', 1, 1)
('recibían', 1, 1)
('becoming', 1, 1)
('modela', 1, 1)
('educar13', 1, 1)
('extrahospitalaria', 1, 1)
('s0954579418001153', 1, 1)
('contaminados', 1, 1)
('.adicionalmente', 1, 1)
('decoloniales', 1, 1)
('chandler', 1, 1)
('orip', 1, 1)
('-32,98%', 1, 1)
('becerril', 1, 1)
('expulsoras', 1, 1)
('japon', 1, 1)
